area,crime,count
Mumbai,Rape,396
Pune,Rape,93
Nagpur,Rape,115
Thane,Rape,230
Nashik,Rape,25
Aurangabad,Rape,943
Solapur,Rape,46
Amravati,Rape,38
Navi Mumbai,Rape,70
Kolhapur,Rape,662
Akola,Rape,31
Latur,Rape,256
Jalgaon,Rape,37
Ratnagiri,Rape,11
Ahmednagar,Rape,60
Chandrapur,Rape,330
Satara,Rape,152
Dhule,Rape,780
Sangli,Rape,40
Nanded,Rape,56
Jalna,Rape,39
Beed,Rape,90
Buldhana,Rape,40
Yavatmal,Rape,24
