area,crime,count
Mumbai,Assualt,2501
Pune,Assualt,1308
Nagpur,Assualt,222
Thane,Assualt,426
Nashik,Assualt,161
Aurangabad,Assualt,95
Solapur,Assualt,325
Amravati,Assualt,175
Navi Mumbai,Assualt,185
Kolhapur,Assualt,2016
Akola,Assualt,197
Latur,Assualt,145
Jalgaon,Assualt,244
Ratnagiri,Assualt,62
Ahmednagar,Assualt,78
Chandrapur,Assualt,159
Satara,Assualt,268
Dhule,Assualt,104
Sangli,Assualt,214
Nanded,Assualt,167
Jalna,Assualt,709
Beed,Assualt,420
Buldhana,Assualt,250
Yavatmal,Assualt,258
