area,crime,count
Mumbai,Theft,8585
Pune,Theft,4501
Nagpur,Theft,2408
Thane,Theft,3048
Nashik,Theft,1209
Aurangabad,Theft,1502
Solapur,Theft,492
Amravati,Theft,873
Navi Mumbai,Theft,1624
Kolhapur,Theft,1230
Akola,Theft,891
Latur,Theft,616
Jalgaon,Theft,1257
Ratnagiri,Theft,367
Ahmednagar,Theft,2938
Chandrapur,Theft,1764
Satara,Theft,1218
Dhule,Theft,662
Sangli,Theft,1473
Nanded,Theft,898
Jalna,Theft,982
Beed,Theft,690
Buldhana,Theft,897
Yavatmal,Theft,1063
